date,no2,pm25
2015-01-08,26.9687603110625,3.4125
2015-01-09,20.017290199269564,3.9583333333333335
2015-01-10,9.296779637670832,6.408333333333334
2015-01-11,26.2486522874,11.741666666666665
2015-01-12,55.30825889847917,12.520833333333332
2015-01-13,20.54057731658333,5.725
2015-01-14,32.39530432794584,10.533333333333333
2015-01-15,39.83804946225416,9.329166666666666
2015-01-16,55.058979118340915,9.491666666666667
2015-01-17,36.574349415375,8.558333333333334
2015-01-18,12.8471810314625,6.9875
2015-01-19,47.709202861975,9.658333333333333
2015-01-20,49.66608249055417,11.645833333333332
2015-01-21,54.478709656908336,13.120833333333334
2015-01-22,37.420948169381816,7.191666666666666
2015-01-23,45.19215082542917,7.770833333333333
2015-01-24,23.802116553808332,6.6375
2015-01-25,13.005055022404166,4.966666666666667
2015-01-26,22.705152319708333,3.904166666666667
2015-01-27,19.0307724302875,4.1375
2015-01-28,47.00830004852083,8.679166666666667
2015-01-29,10.527812534205,4.05
2015-01-30,14.009354904529166,3.8666666666666667
2015-01-31,37.86059432428333,9.441666666666666
2015-02-01,18.708688524208334,6.2625
2015-02-02,18.334345009875,6.216666666666667
2015-02-03,21.808866236870834,7.629166666666666
2015-02-04,15.331800700741667,6.1375
2015-02-05,18.36746668978636,3.7
2015-02-06,24.38418418460833,3.754166666666667
2015-02-07,8.772835898929166,5.739130434782609
2015-02-08,23.24466076128333,4.775
2015-02-09,18.599792864108334,3.8958333333333335
2015-02-10,22.07576771285,6.333333333333334
2015-02-11,20.3194857451,6.15
2015-02-12,30.48473386523913,5.1625
2015-02-13,30.25779282814583,6.320833333333334
2015-02-14,26.204943180325,5.7
2015-02-15,11.183591805683333,3.4541666666666666
2015-02-16,18.3937995376125,5.25
2015-02-17,22.799133465325,3.845833333333333
2015-02-18,27.087054165058333,4.995833333333333
2015-02-19,33.8555430506,4.758333333333333
2015-02-20,28.364229499983335,4
2015-02-21,19.048411180408333,4.041666666666667
2015-02-22,15.1182804090375,4.495833333333334
2015-02-23,43.903696079441666,6.395833333333334
2015-02-24,26.440276501929166,4.7875
2015-02-25,29.070964609125,6.733333333333333
2015-02-26,49.72865821872608,7.008333333333334
2015-02-27,21.160636717970835,3.4083333333333337
2015-02-28,13.933079709620834,3.3208333333333333
2015-03-01,15.234976129933333,4.2125
2015-03-02,18.261291461475,5.758333333333334
2015-03-03,29.346558107120835,5.8
2015-03-04,39.152031779675,6.583333333333334
2015-03-05,28.093831542682608,3.1695652173913045
2015-03-06,21.895003845016667,5.058333333333334
2015-03-07,13.498423248891667,2.6875
2015-03-08,12.317497610079167,4.575
2015-03-09,24.069945986745832,5.975
2015-03-10,31.4422436623875,6.505
2015-03-11,29.251127884666666,6.2375
2015-03-12,17.374670976608694,6.870833333333334
2015-03-13,15.956333205058334,6.004166666666667
2015-03-14,16.645847958095832,7.758333333333334
2015-03-15,8.566087725983333,5.308333333333334
2015-03-16,15.118267607654166,5.533333333333334
2015-03-17,25.129481769495833,7.745833333333334
2015-03-18,25.912338615933333,9.2125
2015-03-19,15.765486098352174,3.5708333333333333
2015-03-20,20.234766624216668,5.683333333333334
2015-03-21,17.560897738183332,3.6791666666666667
2015-03-22,12.84754866875,1.6708333333333334
2015-03-23,19.1276602815875,3.9916666666666667
2015-03-24,27.731665250304165,6.904166666666667
2015-03-25,26.196723003575,4.5875
2015-03-26,30.0512012099875,4.295833333333333
2015-03-27,22.996366052113043,5.3125
2015-03-28,11.163433860795834,4.154166666666667
2015-03-29,14.810299020483333,2.9625
2015-03-30,23.5063912666375,4.333333333333333
2015-03-31,33.43891959613333,4.958333333333333
2015-04-01,25.859931817158333,8.075
2015-04-02,11.027226622241667,6.254166666666667
2015-04-03,8.8313898110375,5.745833333333334
2015-04-04,20.796688774095834,5.925
2015-04-05,16.279101068525,4.608333333333333
2015-04-06,8.693316572129167,3.2
2015-04-07,20.020920687045834,2.8083333333333336
2015-04-08,20.56687458471739,5.6
2015-04-09,23.236430855304167,5.7875
2015-04-10,18.236577447341666,4.204166666666667
2015-04-11,19.345757845829166,5.6875
2015-04-12,29.999996790370833,7
2015-04-13,33.25386323430417,6.479166666666667
2015-04-14,35.790919523225,6.275
2015-04-15,28.59351190285,6.920833333333333
2015-04-16,37.9674218600875,8.7125
2015-04-17,25.977795693841667,5.820833333333334
2015-04-18,13.717394196545834,3.604166666666667
2015-04-19,13.791557985391666,8.4375
2015-04-20,26.136649580354167,5.4375
2015-04-21,19.240407587333333,5.5166666666666675
2015-04-22,24.031987357883335,3.7083333333333335
2015-04-23,20.270237962347824,5.85
2015-04-24,23.238661177295835,8.116666666666667
2015-04-25,11.034518589654168,9.55
2015-04-26,13.458717725216667,7.4375
2015-04-27,15.783761992658333,8.2
2015-04-28,11.5758725889,5.958333333333334
2015-04-29,29.3912869165125,7.091666666666667
2015-04-30,19.703396098417393,6.1125
2015-05-01,10.055954650870834,6.070833333333334
2015-05-02,18.2086047501375,6.820833333333334
2015-05-03,10.171775957641668,5.554166666666667
2015-05-04,24.190088810633334,6.2375
2015-05-05,30.449006122283336,6.183333333333334
2015-05-06,35.487837631495836,7.483333333333333
2015-05-07,41.10427282927917,6.641666666666667
2015-05-08,35.80257164904783,7.979166666666667
2015-05-09,16.811089078179165,5.366666666666667
2015-05-10,12.057375618616668,5.145833333333334
2015-05-11,21.818204852483333,5.216666666666668
2015-05-12,30.39362546743913,6.816666666666667
2015-05-13,28.222884265279166,5.358333333333334
2015-05-14,4.7696204583625,4.4125
2015-05-15,9.746482345130435,5.895833333333334
2015-05-16,17.229479833758333,6.304166666666667
2015-05-17,14.489688677325,6.145833333333334
2015-05-18,25.281474825775,7
2015-05-19,33.6767652606,6.554166666666667
2015-05-20,22.9587281851375,5.233333333333334
2015-05-21,27.391949962541663,4.729166666666666
2015-05-22,25.305595836586956,4.545833333333333
2015-05-23,10.606435893241667,4.533333333333333
2015-05-24,8.8405614828375,4.804166666666666
2015-05-25,7.910953744545833,4.341666666666667
2015-05-26,23.175888980616666,6.2625
2015-05-27,23.404109100358337,6.6875
2015-05-28,28.416162113075,6.795833333333333
2015-05-29,23.419221226104167,5.1125
2015-05-30,17.926912896295832,5.975
2015-05-31,14.4730921464125,4.241666666666666
2015-06-01,27.494837010183332,4.983333333333333
2015-06-02,27.097503103279166,4.745833333333334
2015-06-03,15.8757483085,5.045833333333334
2015-06-04,26.961128122558332,4.808333333333334
2015-06-05,25.5165882153625,4.925
2015-06-06,11.849339722883334,3.0208333333333335
2015-06-07,7.0298258232125,4.929166666666666
2015-06-08,24.461869762475,4.8375
2015-06-09,27.78762973350435,3.3958333333333335
2015-06-10,33.84936889239584,3.975
2015-06-11,27.787253723029163,4.829166666666667
2015-06-12,19.988231282308334,3.5875
2015-06-13,7.5851749519,3.291666666666667
2015-06-14,14.863734921408334,4.308333333333334
2015-06-15,20.213188458854166,6.325
2015-06-16,17.289455902670834,6.6375
2015-06-17,20.340056973479168,4.683333333333334
2015-06-18,18.114017675695834,5.3875
2015-06-19,14.609673766579165,5.025
2015-06-20,10.308402067391667,4.0875
2015-06-21,12.887450153525,4.954166666666667
2015-06-22,15.667191548195834,6.104166666666667
2015-06-23,32.0876055217913,9.775
2015-06-24,24.7441060090875,13.1125
2015-06-25,18.097060022275,6.933333333333334
2015-06-26,13.850526560654165,4.016666666666667
2015-06-27,16.507567102454168,4.2
2015-06-28,11.308805159129166,3.9833333333333334
2015-06-29,19.905319940258334,4.633333333333333
2015-06-30,20.996019394366666,5.3625
2015-07-01,16.208094273920832,4.9125
2015-07-02,31.050447823645833,6.645833333333334
2015-07-03,12.380590112395833,4.55
2015-07-04,5.424305167508333,3.841666666666667
2015-07-05,6.803744972041667,3.0541666666666667
2015-07-06,18.96383490215417,4.095833333333333
